communityId,avg_pw_dist,diameter
7647,1315.136898842212,3695.4775989946893
7989,1851.2377789046786,4860.956794544364
7935,591.1274698952717,1351.6975665881052
8169,953.608821463657,2433.1855794511293
8027,535.5581630740395,1100.6787860027905
8834,1356.9758494003252,4430.4205395385825
8242,1122.4139359798048,3076.7692716345623
8073,231.86574207069717,231.86574207069717
8374,614.2962754606122,1409.0888309641875
8033,614.2962754606122,1409.0888309641875
8572,544.6325452391434,1102.6973224206956
8575,758.5515109214448,1729.5009821248204
8128,758.5515109214448,1729.5009821248204
8734,2148.8018195256545,6273.200414979756
9096,2112.2275165504875,5547.476318625209
9120,2100.799571873017,6068.022946927369
9368,3226.2961964155506,9134.52593620113
8389,682.1680002810297,1663.4769381007202
8751,682.1680002810297,1663.4769381007202
8774,406.32860627196476,406.32860627196476
9150,983.8779275804505,2508.2135628010546
8975,362.004167237895,573.0202166239638
8885,332.91526559782517,332.91526559782517
9085,553.4142637671968,1103.6819370647665
9080,687.6926926793122,1625.7677459625124
9747,1894.0976042044315,5704.304437815812
8844,1894.0976042044315,5704.304437815812
9884,952.8797876598904,2314.129698170153
8934,952.8797876598904,2314.129698170153
